| model_type | attr_method_type | deleted_percentages | best_acc |
|resnetanr|guidedgrad|70.0%|51.79%|
|resnetanr|guidedgrad|80.0%|44.89%|
|resnetanr|guidedgrad|90.0%|37.41%|
|resnetanr|gradcam|0.0%|76.07%|
|resnetanr|gradcam|10.0%|72.25%|
|resnetanr|gradcam|20.0%|70.00%|
|resnetanr|gradcam|30.0%|67.01%|
|resnetanr|gradcam|40.0%|64.59%|
|resnetanr|gradcam|50.0%|62.95%|
|resnetanr|gradcam|60.0%|59.39%|
|resnetanr|gradcam|70.0%|55.96%|
|resnetanr|gradcam|80.0%|51.73%|
|resnetanr|gradcam|90.0%|39.63%|
