| model_type | attr_method_type | deleted_percentages | best_acc |
|resnetanr|guidedgrad|70.0%|54.21%|
|resnetanr|guidedgrad|80.0%|49.56%|
|resnetanr|guidedgrad|90.0%|42.76%|
|resnetanr|gradcam|0.0%|76.07%|
|resnetanr|gradcam|10.0%|74.03%|
|resnetanr|gradcam|20.0%|71.67%|
|resnetanr|gradcam|30.0%|68.70%|
|resnetanr|gradcam|40.0%|67.01%|
|resnetanr|gradcam|50.0%|65.21%|
|resnetanr|gradcam|60.0%|62.24%|
|resnetanr|gradcam|70.0%|59.20%|
|resnetanr|gradcam|80.0%|54.99%|
|resnetanr|gradcam|90.0%|47.33%|
