| model_type | attr_method_type | deleted_percentages | best_acc |
|resnetanr|guidedgrad|70.0%|99.24%|
|resnetanr|guidedgrad|80.0%|99.19%|
|resnetanr|guidedgrad|90.0%|99.16%|
|resnetanr|gradcam|0.0%|99.03%|
|resnetanr|gradcam|10.0%|85.46%|
|resnetanr|gradcam|20.0%|92.07%|
|resnetanr|gradcam|30.0%|94.85%|
|resnetanr|gradcam|40.0%|96.06%|
|resnetanr|gradcam|50.0%|97.01%|
|resnetanr|gradcam|60.0%|97.53%|
|resnetanr|gradcam|70.0%|98.11%|
|resnetanr|gradcam|80.0%|98.56%|
|resnetanr|gradcam|90.0%|98.69%|
