| model_type | attr_method_type | deleted_percentages | best_acc |
|resnetanr|guidedgrad|70.0%|52.63%|
|resnetanr|guidedgrad|80.0%|45.85%|
|resnetanr|guidedgrad|90.0%|39.22%|
|resnetanr|gradcam|0.0%|76.07%|
|resnetanr|gradcam|10.0%|72.64%|
|resnetanr|gradcam|20.0%|69.40%|
|resnetanr|gradcam|30.0%|66.35%|
|resnetanr|gradcam|40.0%|65.41%|
|resnetanr|gradcam|50.0%|62.98%|
|resnetanr|gradcam|60.0%|58.70%|
|resnetanr|gradcam|70.0%|55.65%|
|resnetanr|gradcam|80.0%|50.46%|
|resnetanr|gradcam|90.0%|41.18%|
