| model_type | attr_method_type | deleted_percentages | best_acc |
|resnetanr|guidedgrad|70.0%|64.10%|
|resnetanr|guidedgrad|80.0%|48.52%|
|resnetanr|guidedgrad|90.0%|31.65%|
|resnetanr|gradcam|0.0%|99.03%|
|resnetanr|gradcam|10.0%|98.32%|
|resnetanr|gradcam|20.0%|97.78%|
|resnetanr|gradcam|30.0%|96.30%|
|resnetanr|gradcam|40.0%|93.85%|
|resnetanr|gradcam|50.0%|89.34%|
|resnetanr|gradcam|60.0%|82.23%|
|resnetanr|gradcam|70.0%|75.39%|
|resnetanr|gradcam|80.0%|69.41%|
|resnetanr|gradcam|90.0%|60.32%|
